school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,district_size,chronically_absent_rate,pct_diff,pct_enroll_diff
2019-2020,45,Otero,2540,Fowler R-4j,42,374,Small,0.112,-0.172,-3.359173126614987
2019-2020,45,Otero,2560,Cheraw 31,10,197,Small,0.051,NA,NA
2019-2020,45,Otero,2570,Swink 33,24,330,Small,0.073,-0.06899999999999999,-4.069767441860465
2019-2020,46,Ouray,2580,Ouray R-1,27,149,Small,0.181,-0.27,-9.146341463414634
2019-2020,46,Ouray,2590,Ridgway R-2,26,363,Small,0.072,-0.12100000000000001,9.667673716012084
2019-2020,47,Park,2600,Platte Canyon 1,216,929,Intermediate,0.233,0.063,13.292682926829269
2019-2020,47,Park,2610,Park County Re-2,134,743,Small,0.18,-0.182,19.07051282051282
2019-2020,48,Phillips,2620,Holyoke Re-1j,88,630,Small,0.14,0.034000000000000016,9.185441941074524
2019-2020,48,Phillips,2630,Haxtun Re-2j,16,369,Small,0.043,0.007999999999999993,16.772151898734176
2019-2020,49,Pitkin,2640,Aspen 1,428,1694,Intermediate,0.253,-0.07300000000000001,2.9161603888213854
2019-2020,50,Prowers,2650,Granada Re-1,24,202,Small,0.119,-0.059,2.5380710659898478
2019-2020,50,Prowers,2660,Lamar Re-2,267,1569,Intermediate,0.17,-0.12199999999999997,6.880108991825613
2019-2020,50,Prowers,2670,Holly Re-3,46,318,Small,0.145,0.06299999999999999,13.167259786476869
2019-2020,50,Prowers,2680,Wiley Re-13 Jt,4,240,Small,0.017,-0.104,11.627906976744185
2019-2020,51,Pueblo,2690,Pueblo City 60,6452,16603,Large,0.389,0.069,6.286409320786121
2019-2020,51,Pueblo,2700,Pueblo County 70,1283,10968,Medium,0.117,-0.09699999999999999,12.874343933312751
2019-2020,52,Rio Blanco,2710,Meeker Re-1,91,792,Intermediate,0.115,-0.029999999999999985,11.864406779661017
