school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,district_size,chronically_absent_rate,pct_diff,pct_enroll_diff
2021-2022,13,Crowley,0770,Crowley County Re-1-J,108,420,Small,0.257,0.07300000000000001,-3.4482758620689653
2021-2022,14,Custer,0860,Custer County School District C-1,104,387,Small,0.269,0.13,5.449591280653951
2021-2022,15,Delta,0870,Delta County 50(J),1774,5003,Medium,0.355,0.10499999999999998,-1.7671313567641862
2021-2022,16,Denver,0880,Denver County 1,39781,92170,Large,0.432,0.134,-1.3010654816083953
2021-2022,17,Dolores,0890,Dolores County Re No.2,118,264,Small,0.447,0.15300000000000002,4.761904761904762
2021-2022,18,Douglas,0900,Douglas County Re 1,13191,65420,Large,0.202,0.037000000000000005,6.548966595547158
2021-2022,19,Eagle,0910,Eagle County Re 50,2326,7009,Medium,0.332,0.12800000000000003,1.1983829049956685
2021-2022,20,Elbert,0920,Elizabeth School District,634,2467,Intermediate,0.257,0.092,23.969849246231156
2021-2022,20,Elbert,0930,Kiowa C-2,117,289,Small,0.405,0.16400000000000003,3.9568345323741005
2021-2022,20,Elbert,0940,Big Sandy 100j,56,354,Small,0.158,0.0030000000000000027,139.1891891891892
2021-2022,20,Elbert,0950,Elbert 200,92,292,Small,0.315,0.137,-2.0134228187919465
2021-2022,20,Elbert,0960,Agate 300,22,95,Micro,0.232,0.013000000000000012,30.136986301369863
2021-2022,21,El Paso,0970,Calhan Rj-1,110,476,Small,0.231,0.010000000000000009,-4.225352112676056
2021-2022,21,El Paso,0980,Harrison 2,5528,13847,Medium,0.399,0.0020000000000000018,14.57057752771802
2021-2022,21,El Paso,0990,Widefield 3,3526,10245,Medium,0.344,0.10499999999999998,11.044873184478647
2021-2022,21,El Paso,1000,Fountain 8,2685,9335,Medium,0.288,0.07299999999999998,3.641612079493727
2021-2022,21,El Paso,1010,Colorado Springs 11,10999,24170,Large,0.455,0.10900000000000004,-6.426635694928378
2021-2022,21,El Paso,1020,Cheyenne Mountain 12,785,3822,Medium,0.205,0.12199999999999998,-26.400924321201618
2021-2022,21,El Paso,1030,Manitou Springs 14,422,1399,Intermediate,0.302,0.184,1.1569052783803326
2021-2022,21,El Paso,1040,Academy 20,5994,27352,Large,0.219,0.08199999999999999,11.741155323147316
2021-2022,21,El Paso,1050,Ellicott 22,304,1071,Intermediate,0.284,-0.0040000000000000036,-0.1863932898415657
2021-2022,21,El Paso,1060,Peyton 23 Jt,138,608,Small,0.227,0.08100000000000002,6.666666666666667
2021-2022,21,El Paso,1070,Hanover 28,102,304,Small,0.336,0.061,-2.8753993610223643
2021-2022,21,El Paso,1080,Lewis-Palmer 38,1061,6878,Medium,0.154,0.02099999999999999,6.6191288172376375
2021-2022,21,El Paso,1110,District 49,8786,26379,Large,0.333,0.163,3.301221804511278
2021-2022,21,El Paso,1120,Edison 54 Jt,13,142,Small,0.092,0.034999999999999996,-26.424870466321245
2021-2022,21,El Paso,1130,Miami/Yoder 60 Jt,89,378,Small,0.235,-0.03200000000000003,17.391304347826086
2021-2022,22,Fremont,1140,Canon City Re-1,1417,3419,Medium,0.414,0.046999999999999986,-0.3206997084548105
2021-2022,22,Fremont,1150,Fremont Re-2,684,1442,Intermediate,0.474,0.15599999999999997,2.8530670470756063
2021-2022,22,Fremont,1160,Cotopaxi Re-3,70,204,Small,0.343,0.10900000000000001,-6.422018348623853
2021-2022,23,Garfield,1180,Roaring Fork Re-1,1988,5483,Medium,0.363,0.13499999999999998,-1.1537768162970976
2021-2022,23,Garfield,1195,Garfield Re-2,2007,5005,Medium,0.401,-0.15100000000000002,24.070401586514624
2021-2022,23,Garfield,1220,Garfield 16,412,1323,Intermediate,0.311,-0.0050000000000000044,6.952303961196443
2021-2022,24,Gilpin,1330,Gilpin County Re-1,166,455,Small,0.365,0.204,-0.8714596949891068
2021-2022,25,Grand,1340,West Grand 1-Jt,129,407,Small,0.317,0.11300000000000002,-5.787037037037037
2021-2022,25,Grand,1350,East Grand 2,221,1366,Intermediate,0.162,0.048,1.5613382899628252
2021-2022,26,Gunnison,1360,Gunnison Watershed Re1j,768,2159,Intermediate,0.356,0.15499999999999997,0.6057781919850885
2021-2022,27,Hinsdale,1380,Hinsdale County Re 1,25,90,Micro,0.278,0.10000000000000003,23.28767123287671
2021-2022,28,Huerfano,1390,Huerfano Re-1,309,557,Small,0.555,0.18900000000000006,-6.38655462184874
2021-2022,28,Huerfano,1400,La Veta Re-2,71,207,Small,0.343,0.049000000000000044,-5.045871559633028
2021-2022,29,Jackson,1410,North Park R-1,78,199,Small,0.392,0.166,28.387096774193548
2021-2022,30,Jefferson,1420,Jefferson County R-1,30614,80642,Large,0.38,0.07600000000000001,-1.681276746199144
2021-2022,31,Kiowa,1430,Eads Re-1,19,168,Small,0.113,0.0020000000000000018,-22.22222222222222
2021-2022,31,Kiowa,1440,Plainview Re-2,12,129,Small,0.093,-0.10700000000000001,158
2021-2022,32,Kit Carson,1450,Arriba-Flagler C-20,26,152,Small,0.171,-0.016999999999999987,-5
2021-2022,32,Kit Carson,1460,Hi-Plains R-23,28,159,Small,0.176,0.045999999999999985,8.904109589041095
2021-2022,32,Kit Carson,1480,Stratton R-4,32,238,Small,0.134,0.07300000000000001,-2.857142857142857
2021-2022,32,Kit Carson,1490,Bethune R-5,40,113,Small,0.354,0.011999999999999955,-0.8771929824561403
2021-2022,32,Kit Carson,1500,Burlington Re-6j,228,817,Intermediate,0.279,0.10700000000000004,4.878048780487805
2021-2022,33,Lake,1510,Lake County R-1,289,978,Intermediate,0.296,0.22299999999999998,-6.411483253588517
2021-2022,34,La Plata,1520,Durango 9-R,2049,5899,Medium,0.347,-0.061,-18.13766305856231
2021-2022,34,La Plata,1530,Bayfield 10 Jt-R,591,1352,Intermediate,0.437,0.208,-3.290414878397711
2021-2022,34,La Plata,1540,Ignacio 11 Jt,397,671,Small,0.592,0.19499999999999995,-5.890603085553997
2021-2022,35,Larimer,1550,Poudre R-1,10548,29597,Large,0.356,0.13099999999999998,1.134460960191355
2021-2022,35,Larimer,1560,Thompson R2-J,4665,15945,Large,0.293,0.06799999999999998,10.422437673130194
2021-2022,35,Larimer,1570,Estes Park R-3,521,1119,Intermediate,0.466,0.23700000000000002,2.5664527956003664
2021-2022,36,Las Animas,1580,Trinidad 1,208,520,Small,0.4,0.19000000000000003,-29.058663028649384
2021-2022,36,Las Animas,1590,Primero Reorganized 2,27,250,Small,0.108,-0.022000000000000006,12.10762331838565
2021-2022,36,Las Animas,1600,Hoehne Reorganized 3,89,326,Small,0.273,0.16400000000000003,-3.8348082595870205
2021-2022,36,Las Animas,1620,Aguilar Reorganized 6,27,119,Small,0.227,0.099,9.174311926605505
2021-2022,36,Las Animas,1750,Branson Reorganized 82,4,527,Small,0.008,-0.016,-15.27331189710611
2021-2022,36,Las Animas,1760,Kim Reorganized 88,9,32,Micro,0.281,0.05400000000000002,-27.272727272727273
2021-2022,37,Lincoln,1780,Genoa-Hugo C113,31,214,Small,0.145,0.088,-6.140350877192983
2021-2022,37,Lincoln,1790,Limon Re-4j,95,483,Small,0.197,0.016000000000000014,5.458515283842795
2021-2022,37,Lincoln,1810,Karval Re-23,5,43,Micro,0.116,0.116,-18.867924528301888
2021-2022,38,Logan,1828,Valley Re-1,558,2056,Intermediate,0.271,0.06400000000000003,-6.247150022799818
2021-2022,38,Logan,1850,Frenchman Re-3,22,223,Small,0.099,0.023000000000000007,12.626262626262626
2021-2022,38,Logan,1860,Buffalo Re-4j,87,319,Small,0.273,0.09600000000000003,0.9493670886075949
2021-2022,38,Logan,1870,Plateau Re-5,11,165,Small,0.067,-0.01899999999999999,1.8518518518518519
2021-2022,39,Mesa,1980,De Beque 49jt,115,196,Small,0.587,0.23299999999999998,24.050632911392405
2021-2022,39,Mesa,1990,Plateau Valley 50,138,318,Small,0.434,0.09499999999999997,-20.100502512562816
2021-2022,39,Mesa,2000,Mesa County Valley 51,8386,22169,Large,0.378,0.127,-0.3416498089458305
2021-2022,40,Mineral,2010,Creede School District,34,81,Micro,0.42,0.24999999999999997,-7.954545454545454
2021-2022,41,Moffat,2020,Moffat County Re-1,849,2225,Intermediate,0.382,-0.12,2.157943067033976
2021-2022,42,Montezuma,2035,Montezuma-Cortez Re-1,1401,2853,Intermediate,0.491,0.177,3.8209606986899565
2021-2022,42,Montezuma,2055,Dolores Re-4a,43,688,Small,0.063,-0.22899999999999998,4.718417047184171
2021-2022,42,Montezuma,2070,Mancos Re-6,166,516,Small,0.322,0.15000000000000002,1.7751479289940828
2021-2022,43,Montrose,2180,Montrose County Re-1j,3324,6151,Medium,0.54,0.29000000000000004,9.721726721369961
2021-2022,43,Montrose,2190,West End Re-2,161,281,Small,0.573,0.19099999999999995,3.3088235294117645
2021-2022,44,Morgan,2395,Brush Re-2(J),397,1464,Intermediate,0.271,0.020000000000000018,2.5210084033613445
2021-2022,44,Morgan,2405,Fort Morgan Re-3,994,3550,Medium,0.28,0.006000000000000005,4.781582054309327
2021-2022,44,Morgan,2505,Weldon Valley Re-20(J),42,199,Small,0.211,0.08099999999999999,-0.5
2021-2022,44,Morgan,2515,Wiggins Re-50(J),180,778,Intermediate,0.231,0.12200000000000001,9.887005649717514
2021-2022,45,Otero,2520,East Otero R-1,649,1431,Intermediate,0.454,0.139,3.3959537572254335
2021-2022,45,Otero,2530,Rocky Ford R-2,397,712,Small,0.558,0.22600000000000003,-7.291666666666667
2021-2022,45,Otero,2535,Manzanola 3j,67,163,Small,0.411,0.18599999999999997,-5.780346820809249
2021-2022,45,Otero,2540,Fowler R-4j,153,388,Small,0.394,0.272,-1.7721518987341771
2021-2022,45,Otero,2560,Cheraw 31,86,238,Small,0.361,0.215,8.67579908675799
2021-2022,45,Otero,2570,Swink 33,93,306,Small,0.304,0.129,-5.846153846153846
2021-2022,46,Ouray,2580,Ouray R-1,78,200,Small,0.39,-0.07500000000000001,1.0101010101010102
2021-2022,46,Ouray,2590,Ridgway R-2,67,342,Small,0.196,0.1,-3.932584269662921
2021-2022,47,Park,2600,Platte Canyon 1,242,874,Intermediate,0.277,0.10900000000000001,15.60846560846561
2021-2022,47,Park,2610,Park County Re-2,273,631,Small,0.433,0.066,-2.623456790123457
2021-2022,48,Phillips,2620,Holyoke Re-1j,160,568,Small,0.282,0.033999999999999975,-6.578947368421052
2021-2022,48,Phillips,2630,Haxtun Re-2j,36,351,Small,0.103,0.06099999999999999,-1.680672268907563
2021-2022,49,Pitkin,2640,Aspen 1,774,1691,Intermediate,0.458,0.258,1.5006002400960383
2021-2022,50,Prowers,2650,Granada Re-1,64,206,Small,0.311,0.089,1.477832512315271
2021-2022,50,Prowers,2660,Lamar Re-2,531,1640,Intermediate,0.324,0.101,1.2345679012345678
2021-2022,50,Prowers,2670,Holly Re-3,86,290,Small,0.297,NA,NA
2021-2022,50,Prowers,2680,Wiley Re-13 Jt,33,274,Small,0.12,0.03599999999999999,-0.36363636363636365
2021-2022,51,Pueblo,2690,Pueblo City 60,8951,15788,Large,0.567,0.16899999999999993,2.659470706807985
2021-2022,51,Pueblo,2700,Pueblo County 70,3482,10833,Medium,0.321,0.10800000000000001,-0.4319852941176471
2021-2022,52,Rio Blanco,2710,Meeker Re-1,124,760,Intermediate,0.163,0.047,6.5918653576437585
2021-2022,52,Rio Blanco,2720,Rangely Re-4,196,514,Small,0.381,0.031000000000000028,-2.2813688212927756
2021-2022,53,Rio Grande,2730,Upper Rio Grande School District C-7,131,410,Small,0.32,0.08200000000000002,2.5
2021-2022,53,Rio Grande,2740,Monte Vista C-8,334,1126,Intermediate,0.297,-0.15600000000000003,-6.9421487603305785
2021-2022,53,Rio Grande,2750,Sargent Re-33j,89,335,Small,0.266,0.05300000000000002,-3.735632183908046
2021-2022,54,Routt,2760,Hayden Re-1,97,459,Small,0.211,0.147,12.776412776412776
2021-2022,54,Routt,2770,Steamboat Springs Re-2,421,2395,Intermediate,0.176,0.09299999999999999,-3.737942122186495
2021-2022,54,Routt,2780,South Routt Re 3,132,361,Small,0.366,0.11499999999999999,10.397553516819572
2021-2022,55,Saguache,2790,Mountain Valley Re 1,22,138,Small,0.159,0.083,5.343511450381679
2021-2022,55,Saguache,2800,Moffat 2,129,233,Small,0.554,0.08200000000000007,-7.5396825396825395
2021-2022,55,Saguache,2810,Center 26 Jt,155,662,Small,0.234,-0.05099999999999996,2.0030816640986133
2021-2022,56,San Juan,2820,Silverton 1,16,86,Micro,0.186,0.102,3.6144578313253013
2021-2022,57,San Miguel,2830,Telluride R-1,215,705,Small,0.305,-0.122,-17.447306791569087
2021-2022,57,San Miguel,2840,Norwood R-2j,77,207,Small,0.372,0.23399999999999999,1.9704433497536946
2021-2022,58,Sedgwick,2862,Julesburg Re-1,328,742,Small,0.442,0.10599999999999998,80.5352798053528
2021-2022,58,Sedgwick,2865,Revere School District,39,142,Small,0.275,0.10600000000000001,9.23076923076923
2021-2022,59,Summit,3000,Summit Re-1,1757,3795,Medium,0.463,0.11800000000000005,5.241264559068219
2021-2022,60,Teller,3010,Cripple Creek-Victor Re-1,210,349,Small,0.602,0.33199999999999996,-6.684491978609626
2021-2022,60,Teller,3020,Woodland Park Re-2,661,1903,Intermediate,0.347,0.13799999999999998,-6.807051909892262
2021-2022,61,Washington,3030,Akron R-1,83,431,Small,0.193,-0.008000000000000007,4.611650485436893
2021-2022,61,Washington,3040,Arickaree R-2,8,114,Small,0.07,-0.06,14
2021-2022,61,Washington,3050,Otis R-3,63,196,Small,0.321,0.132,-15.879828326180258
2021-2022,61,Washington,3060,Lone Star 101,13,130,Small,0.1,0.07200000000000001,-7.801418439716312
2021-2022,61,Washington,3070,Woodlin R-104,25,83,Micro,0.301,0.056999999999999995,-7.777777777777778
2021-2022,62,Weld,3080,Weld County Re-1,608,1972,Intermediate,0.308,0.007000000000000006,1.2320328542094456
2021-2022,62,Weld,3085,Eaton Re-2,542,2031,Intermediate,0.267,0.09000000000000002,1.9066733567486203
2021-2022,62,Weld,3090,Weld County School District Re-3j,941,2899,Intermediate,0.325,0.059,5.918889294848374
2021-2022,62,Weld,3100,Weld Re-4,2349,8604,Medium,0.273,0.11900000000000002,9.969325153374234
2021-2022,62,Weld,3110,Johnstown-Milliken Re-5j,947,3906,Medium,0.242,0.04099999999999998,83.466416157820575
2021-2022,62,Weld,3120,Greeley 6,10458,23176,Large,0.451,0.05499999999999999,9.109740596017136
2021-2022,62,Weld,3130,Platte Valley Re-7,250,1114,Intermediate,0.224,-0.09,5.293005671077505
2021-2022,62,Weld,3140,Weld Re-8 Schools,959,2654,Intermediate,0.361,0.10799999999999998,17.485613103142985
2021-2022,62,Weld,3145,Ault-Highland Re-9,441,1107,Intermediate,0.398,0.0010000000000000009,17.515923566878982
2021-2022,62,Weld,3146,Briggsdale Re-10,43,186,Small,0.231,0.08100000000000002,7.514450867052023
2021-2022,62,Weld,3147,Prairie Re-11,20,185,Small,0.108,-0.0010000000000000009,-7.960199004975125
2021-2022,62,Weld,3148,Pawnee Re-12,21,75,Micro,0.28,0.08400000000000002,33.92857142857143
2021-2022,63,Yuma,3200,Yuma 1,296,916,Intermediate,0.323,0.17700000000000002,-3.068783068783069
2021-2022,63,Yuma,3210,Wray Rd-2,159,770,Intermediate,0.206,-0.047000000000000014,0.39113428943937417
2021-2022,63,Yuma,3220,Idalia Rj-3,5,188,Small,0.027,-0.08700000000000001,1.6216216216216217
2021-2022,63,Yuma,3230,Liberty J-4,7,67,Micro,0.104,0,0
2022-2023,01,Adams,0010,Mapleton 1,2967,6946,Medium,0.427,0.035999999999999976,-25.639653142061878
2022-2023,01,Adams,0020,Adams 12 Five Star Schools,12145,36138,Large,0.336,-0.04099999999999998,-2.271620963816323
2022-2023,01,Adams,0030,Adams County 14,2726,5828,Medium,0.468,-0.05099999999999999,-11.683588422488256
2022-2023,01,Adams,0040,School District 27j,7017,22869,Large,0.307,-0.08800000000000002,6.521030322791001
2022-2023,01,Adams,0050,Bennett 29j,479,1302,Intermediate,0.368,-0.09200000000000003,-3.197026022304833
2022-2023,01,Adams,0060,Strasburg 31j,416,1193,Intermediate,0.349,0.066,-5.8405682715074985
2022-2023,01,Adams,0070,Westminster Public Schools,3008,7946,Medium,0.379,-0.10099999999999998,-10.326148290260694
2022-2023,02,Alamosa,0100,Alamosa Re-11j,682,2235,Intermediate,0.305,0.006000000000000005,-2.5719267654751525
2022-2023,02,Alamosa,0110,Sangre De Cristo Re-22j,63,261,Small,0.241,-0.03600000000000003,3.1620553359683794
2022-2023,03,Arapahoe,0120,Englewood 1,1004,2351,Intermediate,0.427,-0.025000000000000022,-2.28595178719867
2022-2023,03,Arapahoe,0123,Sheridan 2,361,1100,Intermediate,0.328,-0.07899999999999996,-13.317572892040976
2022-2023,03,Arapahoe,0130,Cherry Creek 5,15329,53370,Large,0.287,-0.018000000000000016,-4.660676325050465
2022-2023,03,Arapahoe,0140,Littleton 6,2569,13299,Medium,0.193,0.0020000000000000018,-5.73433512900482
2022-2023,03,Arapahoe,0170,Deer Trail 26j,91,318,Small,0.286,0.007999999999999952,0.31545741324921134
2022-2023,03,Arapahoe,0180,Adams-Arapahoe 28j,17299,39954,Large,0.433,-0.0020000000000000018,-0.10750806310473285
2022-2023,03,Arapahoe,0190,Byers 32j,764,7566,Medium,0.101,-0.17,12.472127248401963
2022-2023,04,Archuleta,0220,Archuleta County 50 Jt,714,1796,Intermediate,0.398,-0.068,0.6162464985994398
2022-2023,05,Baca,0230,Walsh Re-1,36,168,Small,0.214,0.043999999999999984,5.660377358490566
2022-2023,05,Baca,0240,Pritchett Re-3,12,49,Micro,0.245,0.006000000000000005,-30.985915492957748
2022-2023,05,Baca,0250,Springfield Re-4,81,276,Small,0.293,-0.065,-5.802047781569966
2022-2023,05,Baca,0260,Vilas Re-5,17,196,Small,0.087,0.063,-6.220095693779904
2022-2023,05,Baca,0270,Campo Re-6,5,31,Micro,0.161,0.07500000000000001,-46.55172413793103
2022-2023,06,Bent,0290,Las Animas Re-1,392,928,Intermediate,0.422,0.015000000000000013,8.032596041909196
2022-2023,06,Bent,0310,McClave Re-2,42,236,Small,0.178,0.03,168.1818181818182
2022-2023,07,Boulder,0470,St Vrain Valley Re-1j,8382,32114,Large,0.261,-0.032999999999999974,2.026941161519888
2022-2023,07,Boulder,0480,Boulder Valley Re 2,6136,28281,Large,0.217,-0.014000000000000012,-4.793805756606631
2022-2023,08,Chaffee,0490,Buena Vista R-31,198,994,Intermediate,0.199,-0.068,-9.223744292237443
2022-2023,08,Chaffee,0500,Salida R-32,321,1319,Intermediate,0.243,-0.03899999999999998,1.8532818532818534
2022-2023,09,Cheyenne,0510,Kit Carson R-1,11,93,Micro,0.118,-0.009000000000000008,-8.823529411764707
2022-2023,09,Cheyenne,0520,Cheyenne County Re-5,22,178,Small,0.124,0.024999999999999994,-11.881188118811881
2022-2023,10,Clear Creek,0540,Clear Creek Re-1,235,644,Small,0.365,0.04799999999999999,-12.141882673942701
2022-2023,11,Conejos,0550,North Conejos Re-1j,302,1021,Intermediate,0.296,-0.132,-0.5842259006815969
2022-2023,11,Conejos,0560,Sanford 6j,87,376,Small,0.231,-0.10700000000000001,19.745222929936304
2022-2023,11,Conejos,0580,South Conejos Re-10,61,161,Small,0.379,0.17300000000000001,3.870967741935484
2022-2023,12,Costilla,0640,Centennial R-1,86,191,Small,0.45,-0.25099999999999995,-10.74766355140187
2022-2023,12,Costilla,0740,Sierra Grande R-30,96,274,Small,0.35,0.045999999999999985,-4.195804195804196
2022-2023,13,Crowley,0770,Crowley County Re-1-J,102,410,Small,0.249,-0.008000000000000007,-2.380952380952381
2022-2023,14,Custer,0860,Custer County School District C-1,111,352,Small,0.315,0.045999999999999985,-9.043927648578812
2022-2023,15,Delta,0870,Delta County 50(J),1353,4616,Medium,0.293,-0.062,-7.735358784729162
2022-2023,16,Denver,0880,Denver County 1,35835,87225,Large,0.411,-0.02100000000000002,-5.365086253661712
2022-2023,17,Dolores,0890,Dolores County Re No.2,68,256,Small,0.266,-0.181,-3.0303030303030303
2022-2023,18,Douglas,0900,Douglas County Re 1,12176,62764,Large,0.194,-0.008000000000000007,-4.0599205136044025
2022-2023,19,Eagle,0910,Eagle County Re 50,1993,6550,Medium,0.304,-0.028000000000000025,-6.548723070338137
2022-2023,20,Elbert,0920,Elizabeth School District,560,2396,Intermediate,0.234,-0.022999999999999993,-2.8779894608836645
2022-2023,20,Elbert,0930,Kiowa C-2,85,287,Small,0.296,-0.10900000000000004,-0.6920415224913494
2022-2023,20,Elbert,0940,Big Sandy 100j,46,337,Small,0.136,-0.021999999999999992,-4.80225988700565
2022-2023,20,Elbert,0950,Elbert 200,75,257,Small,0.292,-0.02300000000000002,-11.986301369863014
2022-2023,20,Elbert,0960,Agate 300,12,78,Micro,0.154,-0.07800000000000001,-17.894736842105264
2022-2023,21,El Paso,0970,Calhan Rj-1,244,429,Small,0.569,0.33799999999999997,-9.873949579831933
2022-2023,21,El Paso,0980,Harrison 2,4405,13531,Medium,0.326,-0.07300000000000001,-2.2820827616090127
2022-2023,21,El Paso,0990,Widefield 3,3226,9898,Medium,0.326,-0.01799999999999996,-3.387018057589068
2022-2023,21,El Paso,1000,Fountain 8,2755,8550,Medium,0.322,0.03400000000000003,-8.409212640599893
2022-2023,21,El Paso,1010,Colorado Springs 11,9425,23344,Large,0.404,-0.05099999999999999,-3.41745966073645
2022-2023,21,El Paso,1020,Cheyenne Mountain 12,437,3700,Medium,0.118,-0.087,-3.192046049188906
2022-2023,21,El Paso,1030,Manitou Springs 14,426,1346,Intermediate,0.316,0.014000000000000012,-3.788420300214439
2022-2023,21,El Paso,1040,Academy 20,5883,26978,Large,0.218,-0.0010000000000000009,-1.3673588768645804
2022-2023,21,El Paso,1050,Ellicott 22,280,977,Intermediate,0.287,0.0030000000000000027,-8.776844070961719
2022-2023,21,El Paso,1060,Peyton 23 Jt,118,619,Small,0.191,-0.036000000000000004,1.8092105263157894
2022-2023,21,El Paso,1070,Hanover 28,142,291,Small,0.488,0.15199999999999997,-4.276315789473684
2022-2023,21,El Paso,1080,Lewis-Palmer 38,1052,6577,Medium,0.16,0.006000000000000005,-4.376272172143064
2022-2023,21,El Paso,1110,District 49,9534,26862,Large,0.355,0.021999999999999964,1.8310019333560787
2022-2023,21,El Paso,1120,Edison 54 Jt,15,96,Micro,0.156,0.064,-32.394366197183096
2022-2023,21,El Paso,1130,Miami/Yoder 60 Jt,105,358,Small,0.293,0.057999999999999996,-5.291005291005291
2022-2023,22,Fremont,1140,Canon City Re-1,823,3343,Medium,0.246,-0.16799999999999998,-2.222872184849371
2022-2023,22,Fremont,1150,Fremont Re-2,492,1421,Intermediate,0.346,-0.128,-1.4563106796116505
2022-2023,22,Fremont,1160,Cotopaxi Re-3,54,192,Small,0.281,-0.062,-5.882352941176471
2022-2023,23,Garfield,1180,Roaring Fork Re-1,1967,5799,Medium,0.339,-0.023999999999999966,5.763268283786249
2022-2023,23,Garfield,1195,Garfield Re-2,1378,4628,Medium,0.298,-0.10300000000000004,-7.532467532467533
2022-2023,23,Garfield,1220,Garfield 16,493,1195,Intermediate,0.413,0.10199999999999998,-9.674981103552533
2022-2023,24,Gilpin,1330,Gilpin County Re-1,147,395,Small,0.372,0.007000000000000006,-13.186813186813186
2022-2023,25,Grand,1340,West Grand 1-Jt,119,410,Small,0.29,-0.027000000000000024,0.7371007371007371
2022-2023,25,Grand,1350,East Grand 2,204,1308,Intermediate,0.156,-0.006000000000000005,-4.24597364568082
2022-2023,26,Gunnison,1360,Gunnison Watershed Re1j,398,2073,Intermediate,0.192,-0.16399999999999998,-3.983325613710051
2022-2023,27,Hinsdale,1380,Hinsdale County Re 1,27,72,Micro,0.375,0.09699999999999998,-20
2022-2023,28,Huerfano,1390,Huerfano Re-1,288,507,Small,0.568,0.0129999999999999,-8.976660682226212
2022-2023,28,Huerfano,1400,La Veta Re-2,109,222,Small,0.491,0.14799999999999996,7.246376811594203
2022-2023,29,Jackson,1410,North Park R-1,58,180,Small,0.322,-0.07,-9.547738693467336
2022-2023,30,Jefferson,1420,Jefferson County R-1,21724,76680,Large,0.283,-0.09700000000000003,-4.913072592445624
2022-2023,31,Kiowa,1430,Eads Re-1,16,189,Small,0.085,-0.027999999999999997,12.5
2022-2023,31,Kiowa,1440,Plainview Re-2,6,410,Small,0.015,-0.078,217.8294573643411
2022-2023,32,Kit Carson,1450,Arriba-Flagler C-20,39,161,Small,0.242,0.07099999999999998,5.921052631578948
2022-2023,32,Kit Carson,1460,Hi-Plains R-23,16,125,Small,0.128,-0.04799999999999999,-21.38364779874214
2022-2023,32,Kit Carson,1480,Stratton R-4,11,210,Small,0.052,-0.08200000000000002,-11.764705882352942
2022-2023,32,Kit Carson,1490,Bethune R-5,41,120,Small,0.342,-0.011999999999999955,6.1946902654867255
2022-2023,32,Kit Carson,1500,Burlington Re-6j,207,739,Small,0.28,0.0010000000000000009,-9.547123623011016
2022-2023,33,Lake,1510,Lake County R-1,164,941,Intermediate,0.174,-0.122,-3.783231083844581
2022-2023,34,La Plata,1520,Durango 9-R,1720,5663,Medium,0.304,-0.04299999999999998,-4.000678081030683
2022-2023,34,La Plata,1530,Bayfield 10 Jt-R,480,1340,Intermediate,0.358,-0.07900000000000001,-0.8875739644970414
2022-2023,34,La Plata,1540,Ignacio 11 Jt,281,672,Small,0.418,-0.174,0.14903129657228018
2022-2023,35,Larimer,1550,Poudre R-1,10418,28497,Large,0.366,0.010000000000000009,-3.716592897928844
2022-2023,35,Larimer,1560,Thompson R2-J,4431,15207,Large,0.291,-0.0020000000000000018,-4.628410159924742
2022-2023,35,Larimer,1570,Estes Park R-3,457,1068,Intermediate,0.428,-0.038000000000000034,-4.557640750670242
2022-2023,36,Las Animas,1580,Trinidad 1,238,856,Intermediate,0.278,-0.122,64.61538461538461
2022-2023,36,Las Animas,1590,Primero Reorganized 2,42,237,Small,0.177,0.06899999999999999,-5.2
2022-2023,36,Las Animas,1600,Hoehne Reorganized 3,67,312,Small,0.215,-0.058000000000000024,-4.294478527607362
2022-2023,36,Las Animas,1620,Aguilar Reorganized 6,39,121,Small,0.322,0.095,1.680672268907563
2022-2023,36,Las Animas,1750,Branson Reorganized 82,14,479,Small,0.029,0.021,-9.108159392789373
2022-2023,36,Las Animas,1760,Kim Reorganized 88,6,32,Micro,0.188,-0.09300000000000003,0
2022-2023,37,Lincoln,1780,Genoa-Hugo C113,33,209,Small,0.158,0.013000000000000012,-2.336448598130841
2022-2023,37,Lincoln,1790,Limon Re-4j,111,477,Small,0.233,0.036000000000000004,-1.2422360248447204
2022-2023,37,Lincoln,1810,Karval Re-23,4,36,Micro,0.111,-0.0050000000000000044,-16.27906976744186
2022-2023,38,Logan,1828,Valley Re-1,496,1924,Intermediate,0.258,-0.013000000000000012,-6.42023346303502
2022-2023,38,Logan,1850,Frenchman Re-3,19,204,Small,0.093,-0.006000000000000005,-8.52017937219731
2022-2023,38,Logan,1860,Buffalo Re-4j,101,330,Small,0.306,0.032999999999999974,3.4482758620689653
2022-2023,38,Logan,1870,Plateau Re-5,53,165,Small,0.321,0.254,0
2022-2023,39,Mesa,1980,De Beque 49jt,89,176,Small,0.506,-0.08099999999999996,-10.204081632653061
2022-2023,39,Mesa,1990,Plateau Valley 50,107,340,Small,0.315,-0.119,6.918238993710692
2022-2023,39,Mesa,2000,Mesa County Valley 51,7659,20916,Large,0.366,-0.01200000000000001,-5.6520366277233975
2022-2023,40,Mineral,2010,Creede School District,22,86,Micro,0.256,-0.16399999999999998,6.172839506172839
2022-2023,41,Moffat,2020,Moffat County Re-1,777,2071,Intermediate,0.375,-0.007000000000000006,-6.921348314606742
2022-2023,42,Montezuma,2035,Montezuma-Cortez Re-1,1253,2516,Intermediate,0.498,0.007000000000000006,-11.812127584998247
