school_year,county_code,county_name,district_code,district_name,absentee_students,total_students,chronically_absent_rate
2018-2019,52,RIO BLANCO,2710,MEEKER RE1,103,708,0.14548022598870056
2018-2019,52,RIO BLANCO,2720,RANGELY RE-4,83,470,0.17659574468085107
2018-2019,53,RIO GRANDE,2730,UPPER RIO GRANDE SCHOOL DISTRICT C-7,67,412,0.16262135922330098
2018-2019,53,RIO GRANDE,2740,MONTE VISTA C-8,200,1094,0.18281535648994515
2018-2019,53,RIO GRANDE,2750,SARGENT RE-33J,57,347,0.1642651296829971
2018-2019,54,ROUTT,2760,HAYDEN RE-1,50,400,0.125
2018-2019,54,ROUTT,2770,STEAMBOAT SPRINGS RE-2,344,2638,0.13040181956027294
2018-2019,54,ROUTT,2780,SOUTH ROUTT RE 3,88,311,0.2829581993569132
2018-2019,55,SAGUACHE,2790,MOUNTAIN VALLEY RE 1,38,125,0.304
2018-2019,55,SAGUACHE,2800,MOFFAT 2,106,209,0.507177033492823
2018-2019,55,SAGUACHE,2810,CENTER 26 JT,106,598,0.17725752508361203
2018-2019,56,SAN JUAN,2820,SILVERTON 1,0,62,0
2018-2019,57,SAN MIGUEL,2830,TELLURIDE R-1,253,911,0.27771679473106475
2018-2019,57,SAN MIGUEL,2840,NORWOOD R-2J,34,182,0.18681318681318682
2018-2019,58,SEDGWICK,2862,JULESBURG RE-1,138,516,0.26744186046511625
2018-2019,58,SEDGWICK,2865,REVERE SCHOOL DISTRICT,12,136,0.08823529411764706
2018-2019,59,SUMMIT,3000,SUMMIT RE-1,1045,3438,0.30395578824898195
2018-2019,60,TELLER,3010,CRIPPLE CREEK-VICTOR RE-1,75,344,0.2180232558139535
2018-2019,60,TELLER,3020,WOODLAND PARK RE-2,318,2254,0.14108251996450755
2018-2019,61,WASHINGTON,3030,AKRON R-1,57,363,0.15702479338842976
2018-2019,61,WASHINGTON,3040,ARICKAREE R-2,20,105,0.19047619047619047
2018-2019,61,WASHINGTON,3050,OTIS R-3,37,211,0.17535545023696683
2018-2019,61,WASHINGTON,3060,LONE STAR 101,9,121,0.0743801652892562
2018-2019,61,WASHINGTON,3070,WOODLIN R-104,22,95,0.23157894736842105
2018-2019,62,WELD,3080,WELD COUNTY RE-1,292,1827,0.1598248494800219
2018-2019,62,WELD,3085,EATON RE-2,158,1915,0.0825065274151436
2018-2019,62,WELD,3090,WELD COUNTY SCHOOL DISTRICT RE-3J,388,2380,0.16302521008403362
2018-2019,62,WELD,3100,WINDSOR RE-4,607,6579,0.09226326189390485
2018-2019,62,WELD,3110,JOHNSTOWN-MILLIKEN RE-5J,512,3850,0.132987012987013
2018-2019,62,WELD,3120,GREELEY 6,4305,22310,0.19296279695203944
2018-2019,62,WELD,3130,PLATTE VALLEY RE-7,58,1092,0.05311355311355311
2018-2019,62,WELD,3140,WELD RE-8 SCHOOLS,379,2299,0.16485428447150935
2018-2019,62,WELD,3145,AULT-HIGHLAND RE-9,204,935,0.21818181818181817
2018-2019,62,WELD,3146,BRIGGSDALE RE-10,22,167,0.1317365269461078
2018-2019,62,WELD,3147,PRAIRIE RE-11,5,194,0.02577319587628866
2018-2019,62,WELD,3148,PAWNEE RE-12,5,72,0.06944444444444445
2018-2019,63,YUMA,3200,YUMA 1,140,801,0.17478152309612985
2018-2019,63,YUMA,3210,WRAY RD-2,111,680,0.16323529411764706
2018-2019,63,YUMA,3220,IDALIA RJ-3,0,187,0
2018-2019,63,YUMA,3230,LIBERTY J-4,7,52,0.1346153846153846
